unix_time,response_time,Years,Days,Hours,Minutes,Seconds,Milliseconds
1527785654.960356,1,48,150,16,54,14,960
1527785655.9760783,1,48,150,16,54,15,976
1527785656.98532,1,48,150,16,54,16,985
1527785657.988187,1,48,150,16,54,17,988
1527785659.0041223,1,48,150,16,54,19,4
1527785660.01978,1,48,150,16,54,20,19
1527785661.0357544,1,48,150,16,54,21,35
1527785662.0514705,1,48,150,16,54,22,51
1527785663.052837,1,48,150,16,54,23,52
1527785664.0686371,1,48,150,16,54,24,68
1527785665.0843258,1,48,150,16,54,25,84
1527785666.100043,1,48,150,16,54,26,100
1527785667.1155207,1,48,150,16,54,27,115
1527785668.131487,1,48,150,16,54,28,131
1527785669.143666,1,48,150,16,54,29,143
1527785670.1596248,1,48,150,16,54,30,159
1527785671.171488,1,48,150,16,54,31,171
1527785672.1871648,1,48,150,16,54,32,187
1527785673.2004216,1,48,150,16,54,33,200
1527785674.2164466,1,48,150,16,54,34,216
1527785675.223279,1,48,150,16,54,35,223
1527785676.2271786,1,48,150,16,54,36,227
1527785677.2327008,1,48,150,16,54,37,232
1527785678.2443836,1,48,150,16,54,38,244
1527785679.2601051,1,48,150,16,54,39,260
1527785680.267694,1,48,150,16,54,40,267
1527785681.2834165,1,48,150,16,54,41,283
1527785682.2991374,1,48,150,16,54,42,299
1527785683.3146167,1,48,150,16,54,43,314
1527785684.3305943,1,48,150,16,54,44,330
1527785685.3463433,1,48,150,16,54,45,346
1527785686.3620365,1,48,150,16,54,46,362
1527785687.3780138,1,48,150,16,54,47,378
1527785688.3936632,1,48,150,16,54,48,393
1527785689.4092343,1,48,150,16,54,49,409
1527785690.4255133,1,48,150,16,54,50,425
1527785691.441237,1,48,150,16,54,51,441
1527785692.4572258,1,48,150,16,54,52,457
1527785693.4729273,1,48,150,16,54,53,472
1527785694.4884534,1,48,150,16,54,54,488
1527785695.5085104,1,48,150,16,54,55,508
1527785696.5124068,1,48,150,16,54,56,512
1527785697.528122,1,48,150,16,54,57,528
1527785698.5343666,1,48,150,16,54,58,534
1527785699.5364351,1,48,150,16,54,59,536
1527785700.5521564,1,48,150,16,55,0,552
1527785701.5572557,1,48,150,16,55,1,557
1527785702.568551,1,48,150,16,55,2,568
1527785703.573536,1,48,150,16,55,3,573
1527785704.5747874,1,48,150,16,55,4,574
1527785705.5903754,1,48,150,16,55,5,590
1527785706.6041687,1,48,150,16,55,6,604
1527785707.6169238,1,48,150,16,55,7,616
1527785708.6328995,1,48,150,16,55,8,632
1527785709.6387196,1,48,150,16,55,9,638
1527785710.64288,1,48,150,16,55,10,642
1527785711.6504269,1,48,150,16,55,11,650
1527785712.656291,1,48,150,16,55,12,656
1527785713.6719527,1,48,150,16,55,13,671
1527785714.6882517,1,48,150,16,55,14,688
1527785715.693942,1,48,150,16,55,15,693
1527785716.7095907,1,48,150,16,55,16,709
1527785717.725497,1,48,150,16,55,17,725
1527785718.7321806,1,48,150,16,55,18,732
1527785719.7367938,1,48,150,16,55,19,736
1527785720.7534301,1,48,150,16,55,20,753
1527785721.7689,1,48,150,16,55,21,768
1527785722.7846217,1,48,150,16,55,22,784
1527785723.7978532,1,48,150,16,55,23,797
1527785724.8008888,1,48,150,16,55,24,800
1527785725.8164005,1,48,150,16,55,25,816
1527785726.8323712,1,48,150,16,55,26,832
1527785727.8480954,1,48,150,16,55,27,848
1527785728.863359,1,48,150,16,55,28,863
1527785729.8667636,1,48,150,16,55,29,866
1527785730.8772538,1,48,150,16,55,30,877
1527785731.87902,1,48,150,16,55,31,879
1527785732.8861926,1,48,150,16,55,32,886
1527785733.895744,1,48,150,16,55,33,895
1527785734.8998556,1,48,150,16,55,34,899
